"Id","HHDeviceID","UserID","ShiftID","Latitude","Longitude","Speed","EntryTime","Accuracy","InsertedDateTime"
"18380998","498","1572","17245","24.8148632","46.6332062","17.935216903686","2016-11-15 11:15:35.000","8","2016-11-15 11:15:50.507"
"18380997","498","1572","17245","24.8150904","46.6337166","20.554262161255","2016-11-15 11:15:32.000","8","2016-11-15 11:15:50.507"
"18380996","498","1572","17245","24.8152481","46.6341057","22.685932159424","2016-11-15 11:15:30.000","8","2016-11-15 11:15:50.507"
"18380995","498","1572","17245","24.8155216","46.6347544","24.562494277954","2016-11-15 11:15:27.000","8","2016-11-15 11:15:50.507"
"18380994","498","1572","17245","24.8158035","46.6354491","26.293323516846","2016-11-15 11:15:24.000","8","2016-11-15 11:15:50.507"
"18380993","498","1572","17245","24.8159926","46.6359405","27.9944190979","2016-11-15 11:15:22.000","12","2016-11-15 11:15:50.507"
"18380980","498","1572","17245","24.8163212","46.6367365","31.119241714477","2016-11-15 11:15:19.000","8","2016-11-15 11:15:20.563"
"18380979","498","1572","17245","24.8166882","46.6375845","32.464683532715","2016-11-15 11:15:16.000","6","2016-11-15 11:15:20.563"
"18380978","498","1572","17245","24.8170687","46.6384719","33.137157440185","2016-11-15 11:15:13.000","6","2016-11-15 11:15:20.563"
"18380977","498","1572","17245","24.8174489","46.6393601","33.225437164307","2016-11-15 11:15:10.000","8","2016-11-15 11:15:20.563"
"18380976","498","1572","17245","24.8178219","46.6402461","32.781742095947","2016-11-15 11:15:07.000","8","2016-11-15 11:15:20.563"
"18380975","498","1572","17245","24.8181753","46.6410986","30.735769271851","2016-11-15 11:15:04.000","8","2016-11-15 11:15:20.563"
"18380974","498","1572","17245","24.8184026","46.6416349","28.583923339844","2016-11-15 11:15:02.000","8","2016-11-15 11:15:20.563"
"18380973","498","1572","17245","24.8186996","46.6423586","24.948738098144","2016-11-15 11:14:59.000","8","2016-11-15 11:15:20.563"
"18380972","498","1572","17245","24.8189467","46.6429668","21.359056472778","2016-11-15 11:14:56.000","6","2016-11-15 11:15:20.563"
